City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
337,Telemaco Borba,BR,71.56,overcast clouds,-24.3239,-50.6156,Hotel Salvatori
339,Sao Joao Da Barra,BR,77.09,scattered clouds,-21.6403,-41.0511,Pousada Mediterrâneo
341,Cartagena,CO,87.42,few clouds,10.3997,-75.5144,Hotel Bellamar
347,Caico,BR,89.56,overcast clouds,-6.4583,-37.0978,Regente Hotel
359,Maracaibo,VE,84.54,scattered clouds,10.6317,-71.6406,Hotel Aladdin
363,Pisco,PE,75.25,dust,-13.7,-76.2167,La Portada
373,Santa Maria,BR,88.9,few clouds,-29.6842,-53.8069,Hotel Morotin
375,Timbiqui,CO,80.47,light rain,2.7717,-77.6654,Hotel de Río Timbiqui
376,Axim,GH,79.63,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
379,Guarapari,BR,74.89,overcast clouds,-20.6667,-40.4975,Osmar Hotel
385,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada tia Fabíola
386,Takoradi,GH,79.92,overcast clouds,4.8845,-1.7554,Hillcrest
394,Kaele,CM,72.28,overcast clouds,10.1092,14.4508,Hôtel les Palmiers
400,Rawson,AR,86.29,clear sky,-43.3002,-65.1023,Hotel Deportivo
401,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
407,Bubaque,GW,81.86,overcast clouds,11.2833,-15.8333,Chez Julio
408,Salalah,OM,71.69,light rain,17.0151,54.0924,Muscat International Hotel
409,Illapel,CL,79.07,clear sky,-31.6308,-71.1653,Domingo Ortiz de Rosas
411,Bocanda,CI,78.49,overcast clouds,7.0626,-4.4995,L'auberge
417,Tarauaca,BR,87.89,broken clouds,-8.1614,-70.7656,Hotel Estrela
429,Brumado,BR,78.13,overcast clouds,-14.2036,-41.6653,Pousada Alvorada
431,Calama,CL,79.29,clear sky,-22.4667,-68.9333,Apart Hotel Geotel Calama
434,Port Antonio,JM,86.0,clear sky,18.18,-76.4612,Finjam Cottages Bed & Breakfast
439,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Dory's House
440,Pointe Michel,DM,85.14,scattered clouds,15.25,-61.3833,Sibouli Valley
444,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,Cape Garden
448,Ratnagiri,IN,73.62,clear sky,16.9833,73.3,Vihar
450,Biltine,TD,70.77,broken clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
453,Mitsamiouli,KM,80.13,overcast clouds,-11.3847,43.2844,Hotel le Paradis
455,Clearwater,US,71.1,scattered clouds,27.9659,-82.8001,The Fort Harrison Hotel
461,Vila Do Maio,CV,74.19,clear sky,15.1333,-23.2167,Residencial Jardins De Maio
465,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,La Gaviota
478,Abu Dhabi,AE,71.62,clear sky,24.4667,54.3667,Marriott Downtown Abu-Dhabi
482,Hualmay,PE,75.07,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
487,Mazamari,PE,86.54,overcast clouds,-11.3258,-74.5308,Hospedaje El Conquistador
488,Cidreira,BR,72.64,clear sky,-30.1811,-50.2056,Hotel Castelo
489,Antofagasta,CL,70.88,clear sky,-23.65,-70.4,Hotel Colón
493,Barra Do Garcas,BR,86.58,thunderstorm,-15.89,-52.2567,Pousada Portal
496,Port Blair,IN,79.59,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
500,Puerto Leguizamo,CO,88.14,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
502,Saquarema,BR,77.14,scattered clouds,-22.92,-42.5103,Pousada Garota de Itaúna
504,San Andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
507,Morondava,MG,78.75,overcast clouds,-20.2833,44.2833,Hotel Sharon Menabe
508,Sechura,PE,80.89,broken clouds,-5.5569,-80.8222,Hospedaje Claritza
516,Kismayo,SO,79.02,scattered clouds,-0.3582,42.5454,Kismayo Hotel
523,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Deyna's City Inn
533,Ambilobe,MG,76.17,overcast clouds,-13.2,49.05,Hôtel National
534,Faranah,GN,73.49,scattered clouds,10.0404,-10.7434,Hotel Selima
535,Yenagoa,NG,79.09,scattered clouds,4.9247,6.2642,Peretimi Hotels Ltd.
538,Kang,BW,78.93,scattered clouds,-23.6752,22.7876,Nkisi Guest House
539,Itarema,BR,81.77,overcast clouds,-2.9248,-39.9167,Pousada Oásis
544,Padang,ID,78.3,light rain,-0.9492,100.3543,losmen Surya
549,Mogadishu,SO,78.39,broken clouds,2.0371,45.3438,SYL Hotel
550,Nuevitas,CU,82.31,clear sky,21.5453,-77.2644,Hotel Caonaba
551,Tabou,CI,79.7,clear sky,4.423,-7.3528,hôtel le rochet
561,Isla Mujeres,MX,84.25,light rain,21.2311,-86.731,Villa La Bella
565,Pimentel,PE,79.09,clear sky,-6.8367,-79.9342,Hospedaje Calle del Sol
568,Esteli,NI,78.55,scattered clouds,13.0919,-86.3538,El Chico
573,Porto Novo,BJ,80.42,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
581,Imbituba,BR,72.99,clear sky,-28.24,-48.6703,Silvestre Praia Hotel
601,Inongo,CD,72.14,scattered clouds,-1.95,18.2667,Chez LELE IYOLO
605,Cape Coast,GH,80.19,scattered clouds,5.1053,-1.2466,Mighty Victory Hotel
609,Jawhar,SO,75.34,broken clouds,2.7809,45.5005,Hotel Subiye
614,Monrovia,LR,78.57,broken clouds,6.3005,-10.7969,Bella Casa Hotel
