City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
77,Plettenberg Bay,ZA,-34.0527,23.3716,68.77,78,3,9.1,clear sky
78,Bukama,CD,-9.2,25.85,66.87,98,100,0.69,overcast clouds
79,Victoria,HK,22.2855,114.1577,63.25,41,9,11.99,clear sky
80,Kamina,CD,-8.7386,24.9906,62.26,98,99,3.91,overcast clouds
81,Cayenne,GF,4.9333,-52.3333,82.44,69,100,12.66,overcast clouds
82,Agadez,NE,19.75,10.25,58.15,28,6,10.74,clear sky
83,Mehamn,NO,71.0357,27.8492,26.55,80,75,10.36,light snow
84,Nouadhibou,MR,20.931,-17.0347,68.47,64,0,10.31,clear sky
85,Conakry,GN,9.538,-13.6773,81.72,58,84,8.43,broken clouds
86,Aktanysh,RU,55.7216,54.0829,27.43,92,100,17.29,overcast clouds
87,Baghdad,IQ,33.3406,44.4009,57.11,77,75,5.75,broken clouds
88,Hornepayne,CA,49.2138,-84.7705,20.19,94,100,9.98,snow
89,Sambava,MG,-14.2667,50.1667,78.42,89,100,1.99,overcast clouds
90,Saldanha,ZA,-33.0117,17.9442,64.65,89,91,11.79,overcast clouds
91,Kolondieba,ML,11.0882,-6.8926,76.1,18,98,5.64,overcast clouds
92,Goderich,CA,43.7501,-81.7165,38.91,80,100,18.84,overcast clouds
93,Diebougou,BF,10.9667,-3.25,78.13,18,100,5.32,overcast clouds
94,Colares,PT,38.7992,-9.4469,64.33,92,84,30.0,broken clouds
95,Morant Bay,JM,17.8815,-76.4093,85.71,65,1,11.54,clear sky
96,Ostrovnoy,RU,68.0531,39.5131,19.04,90,100,5.97,overcast clouds
97,Faya,SA,18.3851,42.4509,50.52,52,0,4.68,clear sky
98,Praia,CV,14.9215,-23.5087,73.94,73,20,19.57,few clouds
99,Syracuse,IT,37.0881,15.2792,52.97,74,0,4.18,clear sky
100,Ponta Do Sol,PT,32.6667,-17.1,67.71,89,25,2.64,scattered clouds
101,Gonaives,HT,19.45,-72.6833,84.04,48,0,7.54,clear sky
102,Cavalcante,BR,-13.7975,-47.4583,71.83,90,100,2.64,overcast clouds
103,Dharchula,IN,29.85,80.5333,47.44,16,1,7.45,clear sky
104,Nuuk,GL,64.1835,-51.7216,18.21,53,0,3.44,clear sky
105,Halifax,CA,44.6453,-63.5724,36.5,66,75,4.0,broken clouds
106,Butia,BR,-30.1197,-51.9622,84.38,37,8,12.41,clear sky
107,Torbay,CA,47.6666,-52.7314,31.57,77,100,5.99,overcast clouds
